Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,1,662.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,1,713.000000,0.0067,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,1,683.000000,0.0154,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,1,661.000000,0.0056,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,1,678.000000,0.0102,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,2,664.000000,0.0014,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,2,679.000000,0.0046,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,2,704.000000,0.0177,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,2,694.000000,0.0176,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,2,679.000000,0.0103,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,3,711.000000,0.0033,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,3,711.000000,0.0049,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,3,692.000000,0.0108,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,3,673.000000,0.0062,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,3,647.000000,0.0050,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,4,690.000000,0.0014,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,4,678.000000,0.0033,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,4,669.000000,0.0082,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,4,698.000000,0.0185,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,4,686.000000,0.0174,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,5,670.000000,0.0021,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,5,725.000000,0.0076,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,5,657.000000,0.0083,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,5,666.000000,0.0087,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,5,650.000000,0.0046,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,6,663.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,6,696.000000,0.0032,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,6,661.000000,0.0084,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,6,680.000000,0.0122,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-300,6,685.000000,0.0167,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-2,7,658.000000,0.0013,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-10,7,695.000000,0.0035,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-50,7,668.000000,0.0070,
scenario1,correlated_sc1,300,kpfs_1.txt,ILS-100,7,662.000000,0.0080,
