Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,1,662.000000,0.0264,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,2,642.000000,0.0151,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,3,655.000000,0.0159,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,4,659.000000,0.0315,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,5,667.000000,0.0249,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,6,661.000000,0.0257,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,7,661.000000,0.0156,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,8,678.000000,0.0343,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,9,659.000000,0.0208,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,10,644.000000,0.0172,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,11,645.000000,0.0205,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,12,633.000000,0.0170,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,13,657.000000,0.0245,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,14,663.000000,0.0200,
scenario1,correlated_sc1,300,kpfs_1.txt,REACT_GRASP,15,664.000000,0.0155,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,1,660.000000,0.0135,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,2,673.000000,0.0381,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,3,684.000000,0.0207,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,4,690.000000,0.0326,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,5,677.000000,0.0184,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,6,660.000000,0.0149,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,7,680.000000,0.0254,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,8,699.000000,0.0213,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,9,667.000000,0.0169,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,10,649.000000,0.0157,
scenario1,correlated_sc1,300,kpfs_2.txt,REACT_GRASP,11,679.000000,0.0318,
