Instancia,Incumbent,BestBd,Gap,TempoExecucao(s),NosExplorados
instances/scenario1/correlated_sc1/1000/kpfs_1.txt,591,1633,1.76311,1800.07,586
instances/scenario1/correlated_sc1/1000/kpfs_10.txt,559,1617,1.89267,1800.48,906
instances/scenario1/correlated_sc1/1000/kpfs_2.txt,531,1636,2.08098,1800.06,906
instances/scenario1/correlated_sc1/1000/kpfs_3.txt,562,1633,1.90569,1800.05,651
instances/scenario1/correlated_sc1/1000/kpfs_4.txt,532,1625,2.05451,1800.02,921
instances/scenario1/correlated_sc1/1000/kpfs_5.txt,597,1587,1.65829,1800.02,860
instances/scenario1/correlated_sc1/1000/kpfs_6.txt,654,1639,1.50612,1800.22,849
instances/scenario1/correlated_sc1/1000/kpfs_7.txt,514,1639,2.18872,1800.49,910
instances/scenario1/correlated_sc1/1000/kpfs_8.txt,537,1592,1.96462,1800.05,900
instances/scenario1/correlated_sc1/1000/kpfs_9.txt,535,1594,1.97944,1800.04,946
instances/scenario1/correlated_sc1/300/kpfs_1.txt,734,871,0.186649,1800.05,36648
instances/scenario1/correlated_sc1/300/kpfs_10.txt,764,857,0.121728,1800.03,48671
instances/scenario1/correlated_sc1/300/kpfs_2.txt,774,869,0.122739,1800.04,42766
instances/scenario1/correlated_sc1/300/kpfs_3.txt,783,873,0.114943,1800.02,41784
instances/scenario1/correlated_sc1/300/kpfs_4.txt,772,865,0.120466,1800.02,42239
instances/scenario1/correlated_sc1/300/kpfs_5.txt,742,895,0.206199,1800.03,25729
instances/scenario1/correlated_sc1/300/kpfs_6.txt,757,845,0.116248,1800.04,50219
instances/scenario1/correlated_sc1/300/kpfs_7.txt,754,855,0.133952,1800.03,27187
instances/scenario1/correlated_sc1/300/kpfs_8.txt,750,892,0.189333,1800.02,17055
instances/scenario1/correlated_sc1/300/kpfs_9.txt,766,898,0.172324,1800.03,20187
instances/scenario1/correlated_sc1/500/kpfs_1.txt,845,1289,0.525444,1800.01,3675
instances/scenario1/correlated_sc1/500/kpfs_10.txt,786,1282,0.631043,1800.04,3653
instances/scenario1/correlated_sc1/500/kpfs_3.txt,865,1277,0.476301,1800.02,4682
instances/scenario1/correlated_sc1/500/kpfs_4.txt,807,1286,0.593556,1800.02,2940
instances/scenario1/correlated_sc1/500/kpfs_5.txt,718,1277,0.778552,1800.02,3525
instances/scenario1/correlated_sc1/500/kpfs_6.txt,758,1296,0.709763,1800.02,3084
instances/scenario1/correlated_sc1/500/kpfs_7.txt,808,1287,0.592822,1800.04,3377
instances/scenario1/correlated_sc1/500/kpfs_8.txt,762,1287,0.688976,1800.02,3081
instances/scenario1/correlated_sc1/500/kpfs_9.txt,821,1287,0.5676,1800.02,3521
instances/scenario1/correlated_sc1/700/kpfs_1.txt,696,1543,1.21695,1800.02,1158
instances/scenario1/correlated_sc1/700/kpfs_10.txt,691,1533,1.21852,1800.02,1172
instances/scenario1/correlated_sc1/700/kpfs_2.txt,672,1480,1.20238,1800.02,1168
instances/scenario1/correlated_sc1/700/kpfs_3.txt,759,1486,0.957839,1800.02,1131
instances/scenario1/correlated_sc1/700/kpfs_4.txt,723,1538,1.12725,1800.02,1221
instances/scenario1/correlated_sc1/700/kpfs_5.txt,691,1502,1.17366,1800.04,1398
instances/scenario1/correlated_sc1/700/kpfs_6.txt,702,1493,1.12678,1800.02,1128
instances/scenario1/correlated_sc1/700/kpfs_7.txt,754,1539,1.04111,1800.02,1392
instances/scenario1/correlated_sc1/700/kpfs_8.txt,667,1515,1.27136,1800.02,1363
instances/scenario1/correlated_sc1/700/kpfs_9.txt,727,1520,1.09078,1800.01,1544
instances/scenario1/correlated_sc1/800/kpfs_1.txt,632,1527,1.41614,1800.03,989
instances/scenario1/correlated_sc1/800/kpfs_10.txt,596,1527,1.56208,1800.02,1075
instances/scenario1/correlated_sc1/800/kpfs_2.txt,641,1554,1.42434,1800.01,1053
instances/scenario1/correlated_sc1/800/kpfs_3.txt,702,1535,1.18661,1800.02,1312
instances/scenario1/correlated_sc1/800/kpfs_4.txt,698,1544,1.21203,1800.02,1369
instances/scenario1/correlated_sc1/800/kpfs_5.txt,662,1523,1.3006,1800.01,1792
instances/scenario1/correlated_sc1/800/kpfs_6.txt,627,1537,1.45136,1800.01,2115
instances/scenario1/correlated_sc1/800/kpfs_7.txt,615,1522,1.4748,1800.01,2175
instances/scenario1/correlated_sc1/800/kpfs_8.txt,656,1492,1.27439,1800.01,2618
instances/scenario1/correlated_sc1/800/kpfs_9.txt,615,1476,1.4,1800.01,2380
instances/scenario1/fully_correlated_sc1/1000/kpfs_1.txt,681,1588,1.33186,1800.01,1542
instances/scenario1/fully_correlated_sc1/1000/kpfs_10.txt,651,1648,1.53149,1800.05,426
instances/scenario1/fully_correlated_sc1/1000/kpfs_2.txt,582,1647,1.8299,1800.02,471
instances/scenario1/fully_correlated_sc1/1000/kpfs_3.txt,604,1636,1.70861,1800.02,595
instances/scenario1/fully_correlated_sc1/1000/kpfs_4.txt,614,1652,1.69055,1800.3,1081
instances/scenario1/fully_correlated_sc1/1000/kpfs_5.txt,638,1620,1.53918,1800.03,743
instances/scenario1/fully_correlated_sc1/1000/kpfs_6.txt,685,1645,1.40146,1800.02,1054
instances/scenario1/fully_correlated_sc1/1000/kpfs_7.txt,621,1640,1.6409,1800.01,556
instances/scenario1/fully_correlated_sc1/1000/kpfs_8.txt,587,1607,1.73765,1800.08,1099
instances/scenario1/fully_correlated_sc1/1000/kpfs_9.txt,606,1623,1.67822,1800.03,499
instances/scenario1/fully_correlated_sc1/300/kpfs_1.txt,725,865,0.193103,1800.05,44371
instances/scenario1/fully_correlated_sc1/300/kpfs_10.txt,744,855,0.149194,1800.03,61087
instances/scenario1/fully_correlated_sc1/300/kpfs_2.txt,763,859,0.125819,1800.03,61559
instances/scenario1/fully_correlated_sc1/300/kpfs_3.txt,742,869,0.171159,1800.04,66397
instances/scenario1/fully_correlated_sc1/300/kpfs_4.txt,754,861,0.14191,1800.02,57478
instances/scenario1/fully_correlated_sc1/300/kpfs_5.txt,744,884,0.188172,1800.03,47078
instances/scenario1/fully_correlated_sc1/300/kpfs_6.txt,745,844,0.132886,1800.04,67837
instances/scenario1/fully_correlated_sc1/300/kpfs_7.txt,745,843,0.131544,1800.02,60975
instances/scenario1/fully_correlated_sc1/300/kpfs_8.txt,725,883,0.217931,1800.03,29157
instances/scenario1/fully_correlated_sc1/300/kpfs_9.txt,718,902,0.256267,1800.03,15955
instances/scenario1/fully_correlated_sc1/500/kpfs_1.txt,752,1288,0.712766,1800.02,2284
instances/scenario1/fully_correlated_sc1/500/kpfs_10.txt,792,1279,0.614899,1800.01,3336
instances/scenario1/fully_correlated_sc1/500/kpfs_2.txt,759,1283,0.690382,1800.02,3322
instances/scenario1/fully_correlated_sc1/500/kpfs_3.txt,777,1274,0.63964,1800.03,3665
instances/scenario1/fully_correlated_sc1/500/kpfs_4.txt,786,1284,0.633588,1800.02,2797
instances/scenario1/fully_correlated_sc1/500/kpfs_5.txt,729,1274,0.747599,1800.02,3841
instances/scenario1/fully_correlated_sc1/500/kpfs_6.txt,669,1284,0.919283,1800.02,3397
instances/scenario1/fully_correlated_sc1/500/kpfs_7.txt,764,1278,0.672775,1800.02,3740
instances/scenario1/fully_correlated_sc1/500/kpfs_8.txt,704,1281,0.819602,1800.03,3279
instances/scenario1/fully_correlated_sc1/500/kpfs_9.txt,831,1281,0.541516,1800.03,3829
instances/scenario1/fully_correlated_sc1/700/kpfs_1.txt,741,1527,1.06073,1800.01,1221
instances/scenario1/fully_correlated_sc1/700/kpfs_10.txt,713,1544,1.1655,1800.02,1449
instances/scenario1/fully_correlated_sc1/700/kpfs_2.txt,661,1512,1.28744,1800.02,1553
instances/scenario1/fully_correlated_sc1/700/kpfs_3.txt,697,1510,1.16643,1800.02,1680
instances/scenario1/fully_correlated_sc1/700/kpfs_4.txt,719,1535,1.13491,1800.02,1368
instances/scenario1/fully_correlated_sc1/700/kpfs_5.txt,726,1533,1.11157,1800.02,1537
instances/scenario1/fully_correlated_sc1/700/kpfs_6.txt,714,1474,1.06443,1800.05,1822
instances/scenario1/fully_correlated_sc1/700/kpfs_7.txt,715,1538,1.15105,1800.02,1713
instances/scenario1/fully_correlated_sc1/700/kpfs_8.txt,684,1520,1.22222,1800.02,1683
instances/scenario1/fully_correlated_sc1/700/kpfs_9.txt,699,1532,1.1917,1800.01,1786
instances/scenario1/fully_correlated_sc1/800/kpfs_1.txt,657,1554,1.3653,1800.02,1184
instances/scenario1/fully_correlated_sc1/800/kpfs_10.txt,689,1549,1.24819,1800.02,1218
instances/scenario1/fully_correlated_sc1/800/kpfs_2.txt,695,1555,1.23741,1800.03,1166
instances/scenario1/fully_correlated_sc1/800/kpfs_3.txt,745,1589,1.13289,1800.02,1354
instances/scenario1/fully_correlated_sc1/800/kpfs_4.txt,714,1550,1.17087,1800.02,1427
instances/scenario1/fully_correlated_sc1/800/kpfs_5.txt,733,1549,1.11323,1800.01,1779
instances/scenario1/fully_correlated_sc1/800/kpfs_6.txt,711,1529,1.15049,1800.01,2067
instances/scenario1/fully_correlated_sc1/800/kpfs_7.txt,658,1533,1.32979,1800.01,2279
instances/scenario1/fully_correlated_sc1/800/kpfs_8.txt,735,1506,1.04898,1800.01,2247
instances/scenario1/fully_correlated_sc1/800/kpfs_9.txt,672,1523,1.26637,1800.01,2228
instances/scenario1/not_correlated_sc1/1000/kpfs_1.txt,361,1045,1.89474,1800.01,2027
instances/scenario1/not_correlated_sc1/1000/kpfs_10.txt,399,1102,1.7619,1800.06,741
instances/scenario1/not_correlated_sc1/1000/kpfs_2.txt,383,1048,1.73629,1800.02,813
instances/scenario1/not_correlated_sc1/1000/kpfs_3.txt,380,1060,1.78947,1800.03,789
instances/scenario1/not_correlated_sc1/1000/kpfs_4.txt,385,1002,1.6026,1800.02,800
instances/scenario1/not_correlated_sc1/1000/kpfs_5.txt,408,1057,1.59069,1800.03,811
instances/scenario1/not_correlated_sc1/1000/kpfs_6.txt,386,1019,1.6399,1800.03,787
instances/scenario1/not_correlated_sc1/1000/kpfs_7.txt,359,997,1.77716,1800.02,828
instances/scenario1/not_correlated_sc1/1000/kpfs_8.txt,360,1011,1.80833,1800.03,807
instances/scenario1/not_correlated_sc1/1000/kpfs_9.txt,354,1072,2.02825,1800.03,799
instances/scenario1/not_correlated_sc1/300/kpfs_1.txt,683,713,0.0439239,1800.06,69967
instances/scenario1/not_correlated_sc1/300/kpfs_10.txt,623,697,0.11878,1800.02,68256
